num,word,freq
6653615452,programkod,26
6626161727,preparatet,24
127821522,betydande,19
8964225,världen,15
6953551,påminna,14
255,don,13
98264136353,överlagring,10
4167,lars,10
45875982,knytnäve,10
11473215,baksidan,10
237477735576167526,diskussionspartner,9
634416,pillar,9
22775,desto,9
26947,dröjt,9
3855177341885651,gymnastikbyxorna,9
6877361551,pyttipanna,9
36122651,graderna,9
6222625726,referenser,9
31416,hakar,9
44177227725,klassfesten,9
292227,föddes,9
3122122,haffade,9
4341,kika,9
41611372725,kapaciteten,9
7715516,stammar,9
7663226,sprider,9
4275,keso,9
293244837726,fågelkvitter,9
6224247261,reflektera,9
23826325725,divergensen,9
66371,prisa,9
25475615226517,doktorandernas,9
25475671831524353,doktorsavhandling,9
2731,duga,9
62627261,repetera,9
5123636433,obegriplig,9
6651425173425,problematiken,9
66522773552441,professionella,9
6651257296394415227,procentförhållandet,9
62126727,receptet,9
26837,drygt,9
665274748143727,produktkvalitet,9
24753247242361225,djungeltelegrafen,9
654318,policy,9
66981522,prövande,9
238263261,divergera,9
665361577896226353,programutvärdering,9
66536155377481415225,programmisslyckanden,9
261337,dragit,9
66536157,programs,9
662774436625,pressklippen,9
63716,ritar,9
2531326177,engagerats,9
23776317261,distribuera,9
6224247355,reflektion,9
145577625,blomstren,9
22441617355,deklaration,9
778617,styras,9
77684,stryk,9
13253122,bifogade,9
7794417,ställas,9
77723212535377617355,studieadministration,9
1557716,bonusar,9
778622,styrde,9
15627361552,bordsgranne,9
7769147,sträcks,9
135,bin,9
64361522,plirande,9
63416,pilar,9
15671,borta,9
7656629672221,sporrförsedda,9
74977767427,slätstruket,9
134217,bildat,9
6784545326,psykologer,9
1341651,bilarna,9
6658541735526,provokationer,9
757456,smulor,9
7527,smet,9
1352535316,bindningar,9
7749651,stjärna,9
77951152,stämband,9
2475324,djungel,9
747417,slukat,9
762324141547,spegelblankt,9
665712565,prosaform,9
163771522,bristande,9
65416372617,polariseras,9
665361576694,programspråk,9
15771272967946353,bostadsförsäkring,9
67163426,rubriker,9
1452277,blodets,9
15717,botat,9
761617,sparat,9
77722615226266272571572651,studeranderepresentanterna,9
7794427,stället,9
134524153426,bilmekaniker,9
134131,bilaga,9
751641,snarka,9
776757594,struntmål,9
7772257675,studentrum,9
7756516451225,stormarknaden,9
77867,styrs,9
77952331,ständiga,9
7752,stod,9
766321,sprida,9
1333427191426,bigglesböcker,9
663513632447,principiellt,9
154535325,bokningen,9
265326,droger,9
662137,precis,9
254756152749577,doktorandtjänst,9
66353738,primitiv,9
777225749625,studentkåren,9
7425533,slemmig,9
645316,plogar,9
6944922,påklädd,9
6374177,piskats,9
655152651,romanerna,9
25516257,domarens,9
645141227,plockades,9
25516,domar,9
761617,sparas,9
747773351425,slutsignalen,9
7623248957,spegelvänt,9
1283743325,bevisligen,9
1547716416,bokstaplar,9
4153526,kaniner,9
5231738,negativ,9
62476738,rekursiv,9
13416,bilar,9
674716,pulsar,9
77862742422159726,styresleledamöter,9
774941,stjäla,9
775642476241735526,storleksrelationer,9
7497725,slätten,9
7594422,smällde,9
779641,stärka,9
77496556,stjärnor,9
7761221161,straffbara,9
777437,stulit,9
1577,bott,9
77711,stubb,9
7583,smyg,9
777226122,studerade,9
7571,sota,9
779226741,städerska,9
634743542651,riktlinjerna,9
6625396535377265,premiärministern,9
777225726,studenter,9
67235257,rudiment,9
15677897717,borttvättat,9
77921,städa,9
77674776244,strukturell,9
7749654416,stjärnklar,9
7517433,snaskig,9
77615225,stranden,9
741825,slaven,9
2947,fält,9
76355261,spionera,9
777226152262662725715726,studeranderepresentanter,9
35237,godis,9
627741725,resulaten,9
749141,släcka,9
5855122,nynnade,9
665424772462726162,projektsekreterare,9
635433162,rimligare,9
512253122,obefogade,9
14577,bloss,9
2374355,diskhon,9
656743572337626,porslinsfigurer,9
63729732535325,piteå-tidningen,9
6347213,riksdag,9
661717,pratas,9
224712754735525,deltafunktionen,9
654377532565,polisuniform,9
286415725,fyrkanten,9
1615274822,brandskydd,9
154384415,bokhyllan,9
749147,släcks,9
25165122,enarmade,9
52164331,ofarliga,9
654961,polära,9
58472637726,nykterister,9
752215,soffan,9
67637726,purister,9
